"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U10";"QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm";1;"KTD2064";;;
2;"U1";"ESP32-WROOM-32D";1;"ESP32-WROOM-32E";;;
3;"TP14,TP13,TP11,TP10,TP8,TP7,TP6,TP5";"TestPoint_Pad_3.0x3.0mm";8;"TestPoint";;;
4;"TP12,TP9,TP4,TP3";"TestPoint_Pad_2.0x2.0mm";4;"TestPoint";;;
5;"SW3,SW2";"SW_B3U-1000P_4.2x1.7mm";2;"SW_Push_SPST_NO";;;
6;"R44,R43,R15";"R_0603_1608Metric";3;"100k";;;
7;"R42,R39,R38,R36,R34,R31,R29,R17,R13,R9";"R_0603_1608Metric";10;"12k";;;
8;"R41,R40,R35,R33,R32,R30,R12";"R_0603_1608Metric";7;"100";;;
9;"R37";"R_0603_1608Metric";1;"47.5k";;;
10;"R28";"R_0603_1608Metric";1;"22.1k";;;
11;"R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R1,R2";"R_0603_1608Metric";12;"5.1k";;;
12;"R14,R11";"R_0603_1608Metric";2;"470R";;;
13;"Q8,Q7,Q1,Q2,Q4,Q3";"SOT-23";6;"IRLML6244";;;
14;"D12,D11,D10,D9,D8,D7,D6,D5";"LED_RGB_5050-6";8;"LED_RGB";;;
15;"D4,D3,D2,D1";"D_SOD-123F";4;"D_Schottky";;;
16;"C31,C10,C8,C9,C3";"C_0603";5;"10uF";;;
17;"C30,C29,C28,C27,C26,C23,C22,C6,C5,C4";"C_0603";10;"1uF";;;
18;"C25";"C_1206_3216Metric";1;"22uF";;;
19;"C24,C15,C14,C13";"C_1206_3216Metric";4;"220uF";;;
20;"C21,C19,C18,C17,C16,C7";"C_0603";6;"0.1uF";;;
21;"C20";"C_0603";1;"2.2uF";;;
22;"C12,C11";"C_1206_3216Metric";2;".1uF";;;
23;"R3,R4";"R_0603_1608Metric";2;"1M";;;
24;"U9";"Texas_DRC0010J_ThermalVias";1;"TPS63001";;;
25;"R5,R6";"R_0603_1608Metric";2;"12K";;;
26;"BT1";"Battery Holder";1;"Cell";;;
27;"U8";"SOT-5X3";1;"LM66200";;;
28;"SW1";"SW_SPDT_CK_JS102011SAQN";1;"SW_SPDT";;;
29;"U5";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
30;"TP1,TP2";"TestPoint_Pad_D1mm";2;"TestPoint";;;
31;"U2";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
32;"L1";"L_1008_2520Metric";1;"2.2uH";;;
33;"Q5,Q6";"SOT-23";2;"SS8050";;;
34;"U7";"SOT-666";1;"USBLC6-2P6";;;
35;"U3";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
36;"U6";"SOT-23";1;"AP2127N-1.8";;;
37;"DWM1";"DWM1000";1;"DWM3000";;;
38;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
39;"U4";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"ICM-42688";;;
